curve,algorithm,error_metric,use_normal_coherence,classifier,noise_std,threshold_scale,threshold,run_idx,metric_value
GAIR-RANSAC first-order hausdorff,gair-ransac,first_order,True,hausdorff,0.4,3.0,1.2000000000000002,0,4.366671412927249
GAIR-RANSAC first-order hausdorff,gair-ransac,first_order,True,hausdorff,0.5,3.0,1.5,0,6.327171723038071
GAIR-RANSAC first-order hausdorff,gair-ransac,first_order,True,hausdorff,0.6,3.0,1.7999999999999998,0,7.548160574442837
GAIR-RANSAC first-order hausdorff,gair-ransac,first_order,True,hausdorff,0.7,3.0,2.0999999999999996,0,19.043176354639815
GAIR-RANSAC first-order hausdorff,gair-ransac,first_order,True,hausdorff,0.8,3.0,2.4000000000000004,0,8.193111687156271
GAIR-RANSAC first-order hausdorff,gair-ransac,first_order,True,hausdorff,0.9,3.0,2.7,0,5.943707215770098
GAIR-RANSAC first-order hausdorff,gair-ransac,first_order,True,hausdorff,1.0,3.0,3.0,0,22.542033115685054
GAIR-RANSAC radial hausdorff,gair-ransac,radial,True,hausdorff,0.1,3.0,0.30000000000000004,0,1.668817817278906
GAIR-RANSAC radial hausdorff,gair-ransac,radial,True,hausdorff,0.2,3.0,0.6000000000000001,0,0.7356882500746614
GAIR-RANSAC radial hausdorff,gair-ransac,radial,True,hausdorff,0.3,3.0,0.8999999999999999,0,1.8348933208438842
GAIR-RANSAC radial hausdorff,gair-ransac,radial,True,hausdorff,0.4,3.0,1.2000000000000002,0,1.8921191141574099
GAIR-RANSAC radial hausdorff,gair-ransac,radial,True,hausdorff,0.5,3.0,1.5,0,1.8164681422779503
GAIR-RANSAC radial hausdorff,gair-ransac,radial,True,hausdorff,0.6,3.0,1.7999999999999998,0,2.9605178129575207
GAIR-RANSAC radial hausdorff,gair-ransac,radial,True,hausdorff,0.7,3.0,2.0999999999999996,0,3.348882884099453
GAIR-RANSAC radial hausdorff,gair-ransac,radial,True,hausdorff,0.8,3.0,2.4000000000000004,0,3.1571359686642197
GAIR-RANSAC radial hausdorff,gair-ransac,radial,True,hausdorff,0.9,3.0,2.7,0,3.1081264879386494
GAIR-RANSAC radial hausdorff,gair-ransac,radial,True,hausdorff,1.0,3.0,3.0,0,3.9830991539848326
