algo,noise_std,n_outliers,trial,chamfer,hausdorff,accuracy,runtime_s
gair-ransac,0.3,2000,3,0.2861470184245679,1.3315896672478846,0.9305245901639344,57.36597228050232
gair-ransac,0.3,2000,4,0.28915461262844555,1.8049334577257004,0.9306147540983607,46.29896688461304
gair-ransac,0.3,3000,0,0.2926030169051115,1.1840635882731176,0.9303902439024391,45.71838641166687
gair-ransac,0.3,3000,1,0.29735028283519294,2.1240881282439283,0.9289674796747968,60.61053919792175
gair-ransac,0.3,3000,2,0.30334193156660455,0.7518750912003559,0.9275040650406504,49.7997145652771
gair-ransac,0.3,3000,3,0.30232852068402627,0.6945386593238579,0.9252113821138211,49.582064151763916
gair-ransac,0.3,3000,4,0.3040562140379779,1.297779600928837,0.9276016260162602,52.47924256324768
gair-ransac,0.3,4000,0,0.29657119516091335,1.0530644057082423,0.9283467741935484,42.45534825325012
gair-ransac,0.3,4000,1,0.5064967582668285,1.3176176445327026,0.8913629032258065,67.83674645423889
gair-ransac,0.3,4000,2,0.3013372011120934,1.2587458851115017,0.9291451612903225,49.1133668422699
gair-ransac,0.3,4000,3,0.310529965495127,1.6071765219058178,0.922483870967742,52.98678684234619
gair-ransac,0.3,4000,4,0.29023267609191894,1.2291927552508806,0.9302983870967741,54.423898220062256
gair-ransac,0.35,0,0,0.5640536075275178,1.6179550158773155,0.9019666666666667,54.48109745979309
gair-ransac,0.35,0,1,0.5591909526979872,1.7652585141871902,0.897775,70.22892689704895
gair-ransac,0.35,0,2,0.5383386611947071,1.305335371196596,0.8967416666666667,49.997469663619995
gair-ransac,0.35,0,3,0.5522415197482851,1.8698084081642088,0.8988416666666666,55.721264600753784
gair-ransac,0.35,0,4,0.29000722396093803,1.3856378621789973,0.9351416666666666,47.93399739265442
gair-ransac,0.35,1000,0,0.5665316459831312,1.6412732604730902,0.8994793388429752,55.86045718193054
gair-ransac,0.35,1000,1,0.5858141709514092,1.8434332220519045,0.8987768595041322,54.637500047683716
gair-ransac,0.35,1000,2,0.31741458281016066,1.9072737967875477,0.9264214876033058,49.04559516906738
gair-ransac,0.35,1000,3,0.5665355621487838,1.8936975336832744,0.8998512396694215,56.71908187866211
gair-ransac,0.35,1000,4,0.5602589830189733,1.5540832953935837,0.8967768595041322,49.8508837223053
gair-ransac,0.35,2000,0,0.7219541887111641,4.962826825813275,0.836,51.81807088851929
gair-ransac,0.35,2000,1,0.5746157772463043,1.7260296721264685,0.897655737704918,57.20924997329712
gair-ransac,0.35,2000,2,0.5790931728637985,1.774329061020772,0.8929098360655737,52.94202470779419
gair-ransac,0.35,2000,3,0.5735237494641827,1.5943061217587098,0.8950983606557377,47.724889039993286
gair-ransac,0.35,2000,4,0.31935293733177594,1.2271819615230184,0.9320245901639345,50.60767197608948
gair-ransac,0.35,3000,0,0.3062043561803699,1.9667032169427348,0.9337804878048781,60.79462814331055
gair-ransac,0.35,3000,1,0.5676719095060236,1.595451460453665,0.8984878048780488,53.21412682533264
gair-ransac,0.35,3000,2,0.31373445267102484,1.8316643591419164,0.9327154471544715,48.601688623428345
gair-ransac,0.35,3000,3,0.30019616943758287,1.1875054761565311,0.9333170731707318,48.56285285949707
gair-ransac,0.35,3000,4,0.31784666058636135,1.4185926544453893,0.9325772357723577,39.08218288421631
gair-ransac,0.35,4000,0,0.5638053523597426,1.442881556853457,0.9021290322580645,60.886483907699585
gair-ransac,0.35,4000,1,0.31407807912812763,1.7964926355995936,0.9328629032258065,48.47593879699707
gair-ransac,0.35,4000,2,0.5888237748670652,1.5736200456784037,0.9021370967741935,59.58128619194031
gair-ransac,0.35,4000,3,0.30987900153509707,1.2973436594951908,0.9329677419354838,46.393529653549194
gair-ransac,0.35,4000,4,0.3078050174837745,0.8822637940086858,0.9309758064516129,44.858461141586304
gair-ransac,0.4,0,0,0.6301044004984957,1.8809912235149315,0.9047666666666667,49.630441427230835
gair-ransac,0.4,0,1,0.6221491632398688,2.0751699705052777,0.9046583333333333,51.75311851501465
gair-ransac,0.4,0,2,0.6344996255977717,1.9432920655408619,0.9032916666666667,54.85429048538208
gair-ransac,0.4,0,3,0.6345489171086567,2.187553566958226,0.9055416666666667,51.62355279922485
gair-ransac,0.4,0,4,0.6264754594015558,2.148018624149493,0.9073416666666667,47.05308699607849
gair-ransac,0.4,1000,0,0.6261808294096104,2.1360602046705384,0.9075867768595042,52.898420333862305
gair-ransac,0.4,1000,1,0.619323286554597,2.0498209648954693,0.9046694214876033,60.27207016944885
gair-ransac,0.4,1000,2,0.6181930252533822,2.0925084488401957,0.9047190082644628,57.72613549232483
gair-ransac,0.4,1000,3,1.3259894981548292,7.1941256709684005,0.8679504132231405,64.40504837036133
gair-ransac,0.4,1000,4,0.6262056505263582,2.1775134483175695,0.9075289256198347,53.37651991844177
gair-ransac,0.4,2000,0,0.6152648965079772,2.0134860483878256,0.9070819672131147,49.91438293457031
gair-ransac,0.4,2000,1,0.6163671877307311,1.9907036917394996,0.9056967213114754,52.88527274131775
gair-ransac,0.4,2000,2,0.6281669695453777,2.095564539612092,0.9047049180327869,52.90306758880615
gair-ransac,0.4,2000,3,0.6255859254249689,1.958508322524377,0.902827868852459,47.30911111831665
gair-ransac,0.4,2000,4,0.6174787469848554,2.101810555212442,0.9066639344262295,43.32908058166504
gair-ransac,0.4,3000,0,0.34982954448750603,1.8691619061210607,0.9331463414634147,43.7600622177124
gair-ransac,0.4,3000,1,0.638613847657989,2.0534183954971272,0.9071138211382114,47.05404758453369
gair-ransac,0.4,3000,2,0.6063474726702384,2.002036008415618,0.9075528455284553,47.36959671974182
gair-ransac,0.4,3000,3,0.6346302260946844,2.1225907073060433,0.9024146341463415,47.7951557636261
gair-ransac,0.4,3000,4,0.596329383635119,2.0644865377633366,0.9079349593495935,39.02930569648743
gair-ransac,0.4,4000,0,0.6119069580538692,2.013276011122861,0.9112983870967742,50.54412245750427
gair-ransac,0.4,4000,1,0.3179348891348559,1.5801616714248563,0.9365725806451612,39.01706838607788
gair-ransac,0.4,4000,2,0.6204591790335672,2.1814405414785702,0.9100887096774194,60.305880546569824
gair-ransac,0.4,4000,3,0.6083738237556051,2.190312989148692,0.9087741935483871,51.96589732170105
gair-ransac,0.4,4000,4,0.6153050696388471,1.9546318109755874,0.9057258064516129,55.064223527908325
gair-ransac,0.45,0,0,0.6327737433064743,2.459393404854708,0.9121916666666666,51.22457838058472
gair-ransac,0.45,0,1,0.9555966430816134,2.2721957775728776,0.8894166666666666,69.43669557571411
gair-ransac,0.45,0,2,0.6447215046638397,2.4849500524578603,0.91385,54.719080209732056
gair-ransac,0.45,0,3,0.5917455126725985,2.0289962196889872,0.9144,42.770546436309814
gair-ransac,0.45,0,4,0.6356165352605172,1.9553062464674824,0.9108833333333334,41.683655738830566
gair-ransac,0.45,1000,0,0.6299435479319069,1.7870245100456794,0.9075702479338843,46.71876239776611
gair-ransac,0.45,1000,1,0.596751701455208,2.253063043115418,0.9139090909090909,49.31735062599182
gair-ransac,0.45,1000,2,0.6038031084010528,1.7796900503688071,0.9135289256198347,44.97569179534912
gair-ransac,0.45,1000,3,1.150838280037612,4.564404369375386,0.8411735537190083,63.84879279136658
gair-ransac,0.45,1000,4,0.6534559442785536,2.103908825648992,0.9154710743801653,54.66191124916077
gair-ransac,0.45,2000,0,0.6356980281735858,2.125621343419902,0.9113196721311475,47.68515920639038
gair-ransac,0.45,2000,1,0.6131247991620633,2.4202227507265244,0.9119918032786886,54.06195545196533
gair-ransac,0.45,2000,2,0.6246537754334995,2.358263067844622,0.9117295081967213,51.30550026893616
gair-ransac,0.45,2000,3,0.6363738675776361,1.5976717772586608,0.9154590163934426,56.437477588653564
gair-ransac,0.45,2000,4,0.6307221210568245,1.9710140239917469,0.9159918032786886,46.123592376708984
gair-ransac,0.45,3000,0,0.5983633564977107,1.8810233502919693,0.915130081300813,45.63236737251282
gair-ransac,0.45,3000,1,0.6352719216956566,2.2383932234253665,0.9155121951219513,50.11506795883179
gair-ransac,0.45,3000,2,0.5987681899299891,1.8762141207122487,0.9142276422764227,56.49586486816406
gair-ransac,0.45,3000,3,1.1406868955364744,3.8797183482469255,0.8899756097560976,71.61523866653442
gair-ransac,0.45,3000,4,0.6625477364445117,2.0185948940442286,0.9138943089430894,59.21471929550171
gair-ransac,0.45,4000,0,0.6185659976879494,2.358831429176481,0.9143709677419355,45.629982233047485
gair-ransac,0.45,4000,1,0.5986581276982424,2.008410236055974,0.9175564516129032,55.18091320991516
gair-ransac,0.45,4000,2,1.1213217765689443,4.8532130099387425,0.8387983870967742,50.10248136520386
gair-ransac,0.45,4000,3,0.6424898762070573,2.3467679157447874,0.9093467741935484,54.452863454818726
