curve,algorithm,error_metric,use_normal_coherence,classifier,noise_std,threshold_scale,threshold,run_idx,metric_value
GAIR-RANSAC first-order hausdorff,gair-ransac,first_order,True,hausdorff,0.6,4.5,2.6999999999999997,0,12.296594410258704
GAIR-RANSAC radial hausdorff,gair-ransac,radial,True,hausdorff,0.6,0.0,0.001,0,nan
GAIR-RANSAC radial hausdorff,gair-ransac,radial,True,hausdorff,0.6,0.5,0.3,0,4.644919292507176
GAIR-RANSAC radial hausdorff,gair-ransac,radial,True,hausdorff,0.6,1.0,0.6,0,4.104580061448407
GAIR-RANSAC radial hausdorff,gair-ransac,radial,True,hausdorff,0.6,1.5,0.8999999999999999,0,3.003798268915459
GAIR-RANSAC radial hausdorff,gair-ransac,radial,True,hausdorff,0.6,2.0,1.2,0,2.3992249662160843
GAIR-RANSAC radial hausdorff,gair-ransac,radial,True,hausdorff,0.6,2.5,1.5,0,2.9862523216401664
GAIR-RANSAC radial hausdorff,gair-ransac,radial,True,hausdorff,0.6,3.0,1.7999999999999998,0,3.208111723222183
GAIR-RANSAC radial hausdorff,gair-ransac,radial,True,hausdorff,0.6,3.5,2.1,0,3.170014095365321
GAIR-RANSAC radial hausdorff,gair-ransac,radial,True,hausdorff,0.6,4.0,2.4,0,2.8353991694443113
GAIR-RANSAC radial hausdorff,gair-ransac,radial,True,hausdorff,0.6,4.5,2.6999999999999997,0,2.5119382422394394
