curve,algorithm,error_metric,use_normal_coherence,classifier,noise_std,threshold_scale,threshold,run_idx,metric_value
GAIR-RANSAC radial chamfer,gair-ransac,radial,True,chamfer,1.2,,3.0,0,1.4994477877488106
GAIR-RANSAC radial chamfer,gair-ransac,radial,True,chamfer,1.3,,3.0,0,1.80584383473197
GAIR-RANSAC radial chamfer,gair-ransac,radial,True,chamfer,1.4,,3.0,0,1.911520925746069
GAIR-RANSAC radial chamfer,gair-ransac,radial,True,chamfer,1.5,,3.0,0,1.869054485526363
GAIR-RANSAC radial chamfer,gair-ransac,radial,True,chamfer,1.6,,3.0,0,1.8801671659932664
GAIR-RANSAC radial chamfer,gair-ransac,radial,True,chamfer,1.7,,3.0,0,1.9696278911279093
GAIR-RANSAC radial chamfer,gair-ransac,radial,True,chamfer,1.8,,3.0,0,2.3314546189471583
GAIR-RANSAC radial chamfer,gair-ransac,radial,True,chamfer,1.9,,3.0,0,2.3288163647281506
GAIR-RANSAC radial chamfer,gair-ransac,radial,True,chamfer,2.0,,3.0,0,2.2544004119774064
RANSAC hausdorff,ransac,first_order,True,hausdorff,0.1,,3.0,0,3.9396836178443024
RANSAC hausdorff,ransac,first_order,True,hausdorff,0.2,,3.0,0,18.08912790025941
RANSAC hausdorff,ransac,first_order,True,hausdorff,0.3,,3.0,0,2.9051122842577337
RANSAC hausdorff,ransac,first_order,True,hausdorff,0.4,,3.0,0,22.134283557070503
RANSAC hausdorff,ransac,first_order,True,hausdorff,0.5,,3.0,0,5.001674608430145
RANSAC hausdorff,ransac,first_order,True,hausdorff,0.6,,3.0,0,31.760804242514013
RANSAC hausdorff,ransac,first_order,True,hausdorff,0.7,,3.0,0,16.249908148816733
RANSAC hausdorff,ransac,first_order,True,hausdorff,0.8,,3.0,0,6.827958064883854
RANSAC hausdorff,ransac,first_order,True,hausdorff,0.9,,3.0,0,6.6168374572962865
RANSAC hausdorff,ransac,first_order,True,hausdorff,1.0,,3.0,0,10.334211670365656
RANSAC hausdorff,ransac,first_order,True,hausdorff,1.1,,3.0,0,11.294283038010974
RANSAC hausdorff,ransac,first_order,True,hausdorff,1.2,,3.0,0,28.4678781963047
RANSAC hausdorff,ransac,first_order,True,hausdorff,1.3,,3.0,0,10.93305933010043
RANSAC hausdorff,ransac,first_order,True,hausdorff,1.4,,3.0,0,36.184510732346766
RANSAC hausdorff,ransac,first_order,True,hausdorff,1.5,,3.0,0,32.539068871553205
RANSAC hausdorff,ransac,first_order,True,hausdorff,1.6,,3.0,0,21.91432862701205
RANSAC hausdorff,ransac,first_order,True,hausdorff,1.7,,3.0,0,17.505600918649925
RANSAC hausdorff,ransac,first_order,True,hausdorff,1.8,,3.0,0,19.624420190016718
RANSAC hausdorff,ransac,first_order,True,hausdorff,1.9,,3.0,0,35.07981146482622
RANSAC hausdorff,ransac,first_order,True,hausdorff,2.0,,3.0,0,23.863386148509967
GAIR-RANSAC first-order hausdorff,gair-ransac,first_order,True,hausdorff,0.1,,3.0,0,16.762982421644285
GAIR-RANSAC first-order hausdorff,gair-ransac,first_order,True,hausdorff,0.2,,3.0,0,7.718286027558318
GAIR-RANSAC first-order hausdorff,gair-ransac,first_order,True,hausdorff,0.3,,3.0,0,17.5285829541182
GAIR-RANSAC first-order hausdorff,gair-ransac,first_order,True,hausdorff,0.4,,3.0,0,18.57102282670981
GAIR-RANSAC first-order hausdorff,gair-ransac,first_order,True,hausdorff,0.5,,3.0,0,4.7184058954445955
GAIR-RANSAC first-order hausdorff,gair-ransac,first_order,True,hausdorff,0.6,,3.0,0,18.631663619566606
GAIR-RANSAC first-order hausdorff,gair-ransac,first_order,True,hausdorff,0.7,,3.0,0,16.182042788651913
GAIR-RANSAC first-order hausdorff,gair-ransac,first_order,True,hausdorff,0.8,,3.0,0,20.185376581900602
GAIR-RANSAC first-order hausdorff,gair-ransac,first_order,True,hausdorff,0.9,,3.0,0,2.7935675063290226
