pc,outlier_frac,algo,chamfer_mean,chamfer_std,cd_coverage_mean,cd_coverage_std,cd_accuracy_mean,cd_accuracy_std,hausdorff_mean,hausdorff_std,classification_rate_mean,classification_rate_std,runtime_s_mean,runtime_s_std
anormalsmushroom,0.05,lo-ransac,0.09102686897761121,0.008671189491129631,0.014062518460355961,0.0006921677527608475,0.0769643505172552,0.008370748177713763,0.4072059841221763,0.11505238778457318,0.867625,0.01173459045471946,88.64463223499934,13.673490045982465
anormalsmushroom,0.05,vanilla,0.0919905670007087,0.006682963396744974,0.014613912908203824,0.0004603684837635834,0.07737665409250483,0.00663345648182866,0.4257694803055566,0.08291369914997883,0.8404107142857142,0.011304112608646376,55.021803274999726,9.568564784483504
anormalsmushroom,0.1,gair-ransac,0.054733678756268736,0.005833249466482722,0.01944279649098147,0.0038619810202120226,0.03529088226528722,0.005660721103852037,0.19746290404988118,0.04392074106615692,0.842625,0.0771238706602556,291.23928584000004,94.9533284600062
anormalsmushroom,0.1,gc-ransac,0.06504244440149584,0.0073695918391374375,0.02067842267375914,0.005042191133497339,0.04436402172773665,0.00524846124810388,0.2302266142838701,0.0443774875201864,0.8090681818181817,0.0797276416712233,295.09407603499983,73.79312490119271
anormalsmushroom,0.1,lo-ransac,0.10175365053582733,0.009287584850063091,0.014110539971868124,0.0004334908559503235,0.08764311056395915,0.009196578153670183,0.4755843171942976,0.07862401629938622,0.8288352272727273,0.011580518550845787,109.15809611499954,16.221876716246197
anormalsmushroom,0.1,vanilla,0.10986187698713208,0.011331970031047973,0.014491799780591449,0.0004936841240506236,0.09537007720654059,0.011325802354005843,0.5553705247344354,0.14699211574218096,0.8083068181818183,0.011491854397174716,75.48249371000074,8.701105445564288
anormalsmushroom,0.15,gair-ransac,0.056503329369863166,0.007257146709399618,0.01979118105167817,0.0038762432964237342,0.036712148318184944,0.005529649149702302,0.22456849334175044,0.05194724608239112,0.8481249999999999,0.07030921756618175,195.79398496500016,64.66761130473184
anormalsmushroom,0.15,gc-ransac,0.06603524805393647,0.008451392066492808,0.021802960560895857,0.004846883877241124,0.04423228749304057,0.004539734180032629,0.22536553806831355,0.03983005751838925,0.7867010869565217,0.07098254281644246,290.34477446000017,65.15212733524504
anormalsmushroom,0.15,lo-ransac,0.11024415670886303,0.009058236175136722,0.014216992871382925,0.0006508447994816082,0.09602716383748003,0.008813657003660854,0.4933285576063189,0.08216162663173934,0.8003750000000001,0.013620506632474464,121.65585244999947,13.863314493055272
anormalsmushroom,0.15,vanilla,0.11110805331377638,0.00904675348626809,0.014838895673894131,0.0005360641101541902,0.09626915763988218,0.00880482519689936,0.5512022795035455,0.10451648887286764,0.7804782608695653,0.011141584804194584,72.87112722500005,7.894152376612771
anormalsmushroom,0.2,gair-ransac,0.055664780927858856,0.00577783133999477,0.02041083566505214,0.0038025661780750988,0.03525394526280667,0.004651775525342595,0.20148923676385128,0.04082427510284554,0.8459322916666666,0.06715045537127656,246.7314147050003,77.62591144082029
anormalsmushroom,0.2,gc-ransac,0.07072942948095975,0.007051561255389397,0.023405848564128535,0.004759870450706436,0.04732358091683117,0.005081478973618437,0.2228709521437083,0.022699526722955443,0.7548802083333334,0.06599233445642311,302.2465672100001,64.52361327078994
anormalsmushroom,0.2,lo-ransac,0.11624557289726031,0.010584613580185032,0.014297465032385919,0.0005519263715520941,0.10194810786487436,0.010409817160333054,0.5625001022080863,0.11011534647349157,0.7815416666666667,0.009593018085020598,121.27344556499975,14.473812848803062
anormalsmushroom,0.2,vanilla,0.11335915755830117,0.00780923703830226,0.014829323107754441,0.0004479847295174895,0.09852983445054668,0.007673679909008563,0.5467042672371953,0.10725140803056729,0.756609375,0.011245048201550334,72.3178703999998,5.726626825311181
anormalsmushroom,0.25,gair-ransac,0.055078148414108866,0.004412137756015962,0.01754689872865053,0.004161249545494409,0.03753124968545829,0.004891823436434415,0.22534578626935042,0.047110582298406006,0.8904249999999999,0.06931800005466796,232.8190839499999,76.92051178142297
anormalsmushroom,0.25,gc-ransac,0.0709436699508607,0.00758065786232973,0.023065555454097796,0.004257426406760038,0.04787811449676285,0.005894805895303684,0.22036880677114876,0.025019313342069274,0.7548,0.0488344033174198,306.91474335999936,67.240613100209
anormalsmushroom,0.25,lo-ransac,0.10964857733924498,0.008071913507042458,0.01442418461126839,0.0006640826182901014,0.09522439272797653,0.007905597575142038,0.4939715524572936,0.10414211050597241,0.75615,0.012357077665089446,126.38115905500017,15.272175480668256
anormalsmushroom,0.25,vanilla,0.11344510590118155,0.009647664897264966,0.015218088862795789,0.0004554733425592323,0.0982270170383857,0.009550193107856408,0.5046685824056812,0.0992912865849051,0.734105,0.012038773980242673,75.35782992000004,6.102020210367524
anormalsmushroom,0.3,gair-ransac,0.056086319512787974,0.007438510191035959,0.01963493238094807,0.004101317543914366,0.03645138713183986,0.005300427040016803,0.2149754479497829,0.044247593240945224,0.8606971153846154,0.06280031302643077,223.48923958499944,68.38760032103791
anormalsmushroom,0.3,gc-ransac,0.07621903730209426,0.006225356080073992,0.02259260798099879,0.004245900621942302,0.053626429321095424,0.004497261405149269,0.24260761171287598,0.03751824964310651,0.7479375,0.04285413209860073,299.17679284499974,68.67279703499705
anormalsmushroom,0.3,lo-ransac,0.11522700119922406,0.007926355931428758,0.014477177575979449,0.0005661099768681137,0.10074982362324456,0.007693263168631869,0.5363205622641372,0.08466901170599092,0.7348990384615385,0.014073547297435972,125.1636935550001,13.782725217343891
