algo,noise_std,n_outliers,trial,chamfer,hausdorff,accuracy,runtime_s
gair-ransac,0.4,4000,3,0.2747820289859598,1.6213741039802017,0.9218951612903226,48.14951419830322
gair-ransac,0.4,4000,4,0.2824034746883093,1.2464959509544384,0.9203064516129033,47.1189866065979
gair-ransac,0.4,6000,0,0.28342931575683417,0.7889489440710031,0.9218333333333333,51.976557970047
gair-ransac,0.4,6000,1,0.28434457641174665,1.1280724651349059,0.9211666666666667,47.70492148399353
gair-ransac,0.4,6000,2,0.2737681969926317,1.1649785855299917,0.9220952380952381,51.775320291519165
gair-ransac,0.4,6000,3,0.28025364941877506,0.953865622947346,0.9213571428571429,45.72798681259155
gair-ransac,0.4,6000,4,0.28297601806944583,1.6601069845865764,0.9228888888888889,60.405625343322754
gair-ransac,0.4,8000,0,0.2768415406967669,1.4769828291585614,0.9230703125,47.478480100631714
gair-ransac,0.4,8000,1,0.28107955172353016,1.2639624348071872,0.9225,46.45607042312622
gair-ransac,0.4,8000,2,0.2699635698093044,1.5733640533645659,0.9234765625,51.34318566322327
gair-ransac,0.4,8000,3,0.2705140818470386,1.7331429621355574,0.9228671875,62.66702055931091
gair-ransac,0.4,8000,4,0.27911555306429225,2.020561055690382,0.9231328125,57.95093297958374
ransac,0.0,0,0,0.23529140566470846,0.5276729257132735,1.0,36.94204354286194
ransac,0.0,0,1,0.23331125934799957,0.5040458008291839,1.0,39.48013973236084
ransac,0.0,0,2,0.23556169518748868,0.9029125549278464,1.0,41.79589343070984
ransac,0.0,0,3,0.23376139893822548,0.7105764333599243,1.0,40.52651858329773
ransac,0.0,0,4,0.23880943340156452,0.47747465840203535,1.0,40.079495906829834
ransac,0.0,2000,0,0.2891848031601443,0.7470427795313883,0.9998524590163934,37.15821933746338
ransac,0.0,2000,1,0.258773570603117,0.6908758433336887,0.999827868852459,39.77971148490906
ransac,0.0,2000,2,0.28711633288278726,0.46283300937759014,0.9998606557377049,47.84373641014099
ransac,0.0,2000,3,0.2524065478132076,0.7493637030769891,0.9998524590163934,41.912612199783325
ransac,0.0,2000,4,0.2947817675691006,0.637411072745974,0.999827868852459,42.65220093727112
ransac,0.0,4000,0,0.313110348823315,0.5531689127930101,0.9995967741935484,49.65011382102966
ransac,0.0,4000,1,0.2737353846581576,0.7499792362025649,0.9996693548387097,46.99319362640381
ransac,0.0,4000,2,0.281350605600392,0.6218552474975263,0.9997741935483871,41.333024740219116
ransac,0.0,4000,3,0.32606560630189985,0.5641340274702793,0.9997177419354839,49.960968255996704
ransac,0.0,4000,4,0.26404375993175555,0.5054476564473878,0.9996854838709678,41.8971848487854
ransac,0.0,6000,0,0.2594799532295402,0.634113650122718,0.999531746031746,46.66555738449097
ransac,0.0,6000,1,0.2692645580903512,0.544748617782088,0.9994920634920635,42.5201153755188
ransac,0.0,6000,2,0.3161854946107084,0.5981759603659601,0.9996190476190476,45.105355739593506
ransac,0.0,6000,3,0.2773708755265358,0.5545858415613393,0.9994126984126984,42.107163190841675
ransac,0.0,6000,4,0.2930141952261954,0.49127899080130655,0.9995,41.73486924171448
ransac,0.0,8000,0,0.2832313739308706,0.5693882290863259,0.9993984375,47.26872158050537
ransac,0.0,8000,1,0.3280221149417412,0.5287341530227166,0.999296875,52.45888876914978
ransac,0.0,8000,2,0.3152302656175111,0.5087293898808206,0.9993671875,54.481799840927124
ransac,0.0,8000,3,0.315687827667341,0.5531249992818321,0.9994296875,51.70182394981384
ransac,0.0,8000,4,0.28606019989446557,0.8114929848583567,0.99940625,44.83362340927124
ransac,0.1,0,0,0.23389050393879993,0.5752418815284296,0.9740666666666666,55.31807065010071
ransac,0.1,0,1,0.23371337349884014,0.6078989345584339,0.9746083333333333,55.993950843811035
ransac,0.1,0,2,0.23910930035011493,0.8958537874995968,0.9709583333333334,51.74136424064636
ransac,0.1,0,3,0.24286555372361082,0.7307686938280413,0.9727416666666666,49.398451805114746
ransac,0.1,0,4,0.23779601213267237,0.5334110097929035,0.97365,51.32720446586609
ransac,0.1,2000,0,0.23289074434815749,0.752726252328222,0.9743606557377049,53.18692231178284
ransac,0.1,2000,1,0.2427856453960844,0.5669027606402529,0.9741311475409836,57.27040338516235
ransac,0.1,2000,2,0.26240054674113644,0.5824252918699031,0.9743114754098361,50.31341552734375
ransac,0.1,2000,3,0.24581961880269226,0.6538759190566871,0.974327868852459,59.89666509628296
ransac,0.1,2000,4,0.24015881530399003,0.9019514037118692,0.9724754098360656,60.676690340042114
ransac,0.1,4000,0,0.24360928503668783,0.7536583131907078,0.9742258064516129,47.278465032577515
